ortho,Lexique3__phon,Lexique3__lemme,Lexique3__cgram,Lexique3__freqlemfilms2,Lexique3__freqfilms2,Lexique3__nblettres,Lexique3__puorth,Lexique3__puphon,Lexique3__nbsyll,Lexique3__cgramortho
abbés,abe,abbé,NOM,4.46,0.02,5,0,3,2,NOM
abord,abOR,abord,NOM,2.22,0.89,5,5,4,2,NOM
about,abu,about,NOM,5.94,5.94,5,5,3,2,NOM
abris,abRi,abri,NOM,25.9,3.2,5,0,4,2,NOM
abîme,abim,abîme,NOM,6.01,5.03,5,5,4,2,"NOM,VER"
accro,akRo,accro,NOM,2.56,1.66,5,5,4,2,"ADJ,NOM"
accès,aksE,accès,NOM,29.53,29.53,5,4,4,2,NOM
achat,aSa,achat,NOM,9.75,5.2,5,5,3,2,NOM
acide,asid,acide,NOM,9.46,8.44,5,5,4,2,"ADJ,NOM"
acier,asje,acier,NOM,13.88,13.85,5,4,4,2,NOM
actes,akt,acte,NOM,56.81,17.62,5,0,3,1,NOM
adieu,adj2,adieu,NOM,44.44,36.86,5,4,4,2,"NOM,ONO"
agent,aZ@,agent,NOM,117.9,92.42,5,5,3,2,NOM
aides,Ed,aide,NOM,175.59,4.18,5,0,2,1,"NOM,VER"
aigle,Egl,aigle,NOM,6.9,5.5,5,5,3,1,NOM
ailes,El,aile,NOM,33.45,18.45,5,0,2,1,NOM
aires,ER,aire,NOM,5.54,0.99,5,0,2,1,NOM
aises,Ez,aise,NOM,32.73,1.09,5,0,2,1,"ADJ,NOM"
album,albOm,album,NOM,11.29,9.36,5,5,5,2,NOM
algue,alg,algue,NOM,2.66,0.29,5,4,3,1,NOM
alibi,alibi,alibi,NOM,11.13,10.28,5,4,4,3,NOM
aller,ale,aller,NOM,17.78,17.21,5,5,3,2,"NOM,VER"
allez,ale,aller,NOM,17.78,0.0,5,0,3,2,"NOM,VER"
allié,alje,allié,NOM,11.64,2.4,5,5,4,2,"VER,ADJ,NOM"
allée,ale,allée,NOM,12.17,9.89,5,5,3,2,"VER,NOM"
alpha,alfa,alpha,NOM,2.09,2.09,5,5,4,2,NOM
amant,am@,amant,NOM,35.03,23.28,5,5,3,2,NOM
amaro,amaRo,amaro,NOM,2.02,2.02,5,5,5,3,NOM
amies,ami,ami,NOM,747.98,20.88,5,0,3,2,"ADJ,NOM"
amigo,amigo,amigo,NOM,6.91,4.75,5,5,4,3,NOM
amour,amuR,amour,NOM,458.27,450.46,5,5,4,2,NOM
ancre,@kR,ancre,NOM,4.75,4.63,5,5,3,1,"NOM,VER"
anges,@Z,ange,NOM,69.27,21.38,5,0,2,1,NOM
angle,@gl,angle,NOM,13.29,11.56,5,5,3,1,NOM
année,ane,année,NOM,316.25,129.64,5,5,3,2,NOM
antre,@tR,antre,NOM,2.96,2.96,5,4,3,1,NOM
appel,apEl,appel,NOM,100.18,80.88,5,5,4,2,NOM
appui,ap8i,appui,NOM,8.81,7.83,5,5,4,2,NOM
appât,apa,appât,NOM,6.74,5.97,5,5,3,2,NOM
arabe,aRab,arabe,NOM,13.62,6.71,5,5,4,2,"ADJ,NOM"
arbre,aRbR,arbre,NOM,81.69,49.29,5,5,4,1,NOM
arche,aRS,arche,NOM,3.19,2.83,5,5,3,1,NOM
armes,aRm,arme,NOM,220.22,105.82,5,0,3,1,"NOM,VER"
armée,aRme,armée,NOM,101.07,93.97,5,5,4,2,"VER,ADJ,NOM"
arrêt,aRE,arrêt,NOM,50.88,46.8,5,5,3,2,NOM
arène,aREn,arène,NOM,2.5,2.25,5,3,4,2,NOM
asile,azil,asile,NOM,26.56,25.52,5,5,4,2,NOM
astre,astR,astre,NOM,3.13,1.89,5,5,4,1,NOM
atome,atom,atome,NOM,2.85,1.3,5,5,4,2,NOM
atout,atu,atout,NOM,5.74,3.66,5,5,3,2,NOM
aubes,ob,aube,NOM,30.32,0.27,5,0,2,1,NOM
auras,oRa,aura,NOM,14.48,2.31,5,0,3,2,"NOM,AUX,VER"
autel,otEl,autel,NOM,8.27,7.62,5,5,4,2,NOM
autos,oto,auto,NOM,18.66,2.42,5,0,3,2,NOM
autre,otR,autre,NOM,7.48,6.25,5,5,3,1,"ADJ,ADV,NOM,PRO:ind"
avant,av@,avant,NOM,8.05,7.94,5,5,3,2,"ADJ,ADV,NOM,PRE"
aveux,av2,aveu,NOM,11.15,5.29,5,0,3,2,NOM
avion,avj§,avion,NOM,128.35,105.54,5,5,4,2,NOM
avoir,avwaR,avoir,NOM,3.13,2.72,5,5,5,2,"AUX,NOM,VER"
avril,avRil,avril,NOM,11.23,11.23,5,5,5,2,NOM
azurs,azyR,azur,NOM,2.98,0.0,5,0,4,2,NOM
aînée,ene,aîné,NOM,8.92,2.79,5,0,3,2,"ADJ,NOM"
aînés,ene,aîné,NOM,8.92,1.46,5,0,3,2,"ADJ,NOM"
aïeul,aj9l,aïeul,NOM,3.13,1.08,5,4,4,2,NOM
aïeux,aj2,aïeul,NOM,3.13,1.75,5,0,0,2,NOM
babys,babi,baby,NOM,13.2,0.01,5,0,4,2,NOM
bacon,bekon,bacon,NOM,4.5,4.5,5,4,5,2,NOM
badge,badZ,badge,NOM,7.14,6.03,5,5,4,1,NOM
baffe,baf,baffe,NOM,2.93,1.41,5,5,3,1,"NOM,VER"
bagne,baN,bagne,NOM,2.5,2.49,5,5,3,1,NOM
bague,bag,bague,NOM,30.32,26.14,5,5,3,1,"NOM,VER"
baies,bE,baie,NOM,7.09,1.24,5,0,2,1,"ADJ,NOM"
bains,b5,bain,NOM,74.48,23.96,5,0,2,1,NOM
baise,bEz,baise,NOM,7.66,7.07,5,5,3,1,"NOM,VER"
balai,balE,balai,NOM,10.91,8.24,5,5,4,2,NOM
balle,bal,balle,NOM,122.07,77.32,5,5,3,1,NOM
bancs,b@,banc,NOM,10.76,1.81,5,0,2,1,NOM
bande,b@d,bande,NOM,78.36,69.1,5,5,3,1,"NOM,VER"
bangs,b@g,bang,NOM,2.37,0.34,5,0,3,1,NOM
banjo,b@dZo,banjo,NOM,3.13,3.08,5,4,4,2,NOM
barbe,baRb,barbe,NOM,24.15,23.4,5,5,4,1,"NOM,VER"
baril,baRil,baril,NOM,2.71,1.81,5,5,5,2,NOM
baron,baR§,baron,NOM,20.82,16.07,5,5,4,2,NOM
barre,baR,barre,NOM,18.78,15.59,5,5,3,1,"NOM,VER"
bases,baz,base,NOM,59.22,7.53,5,0,3,1,"NOM,VER"
basse,bas,basse,NOM,2.89,2.36,5,5,3,1,"ADJ,NOM"
batte,bat,batte,NOM,6.87,6.39,5,5,3,1,"NOM,VER"
baves,bav,bave,NOM,2.1,0.02,5,0,3,1,"NOM,VER"
bazar,bazaR,bazar,NOM,8.36,8.18,5,5,5,2,NOM
belge,bElZ,belge,NOM,2.0,1.31,5,5,4,1,"ADJ,NOM"
belle,bEl,beau,NOM,50.85,35.08,5,0,3,1,"ADJ,NOM"
benne,bEn,benne,NOM,2.38,2.12,5,4,3,1,NOM
berge,bERZ,berge,NOM,2.77,1.79,5,5,4,1,NOM
bible,bibl,bible,NOM,17.79,17.03,5,5,4,1,NOM
biche,biS,biche,NOM,5.8,5.29,5,5,3,1,"NOM,VER"
bides,bid,bide,NOM,3.73,0.07,5,0,3,1,NOM
bidon,bid§,bidon,NOM,8.02,5.37,5,5,4,2,"ADJ,NOM"
biens,bj5,bien,NOM,106.6,16.99,5,0,3,1,NOM
bijou,biZu,bijou,NOM,8.37,8.37,5,5,4,2,NOM
bilan,bil@,bilan,NOM,6.13,5.63,5,5,4,2,NOM
biles,bil,bile,NOM,2.78,0.19,5,0,3,1,"NOM,VER"
bille,bij,bille,NOM,5.21,2.5,5,5,3,1,NOM
bingo,biGo,bingo,NOM,9.08,9.08,5,5,4,2,NOM
bises,biz,bise,NOM,3.84,1.14,5,0,3,1,"ADJ,NOM,VER"
bison,biz§,bison,NOM,2.65,1.49,5,5,4,2,NOM
bisou,bizu,bisou,NOM,18.4,13.99,5,5,4,2,NOM
bites,bit,bite,NOM,26.41,3.49,5,0,3,1,NOM
bizut,bizy,bizut,NOM,2.3,2.05,5,5,4,2,NOM
bière,bjER,bière,NOM,81.67,68.55,5,3,4,1,NOM
black,blak,black,NOM,4.07,1.94,5,5,4,1,"ADJ,NOM"
blanc,bl@,blanc,NOM,46.88,27.56,5,5,3,1,"ADJ,NOM"
bleds,blEd,bled,NOM,5.67,0.12,5,0,4,1,NOM
bleus,bl2,bleu,NOM,26.12,6.2,5,0,3,1,"ADJ,NOM"
blocs,blOk,bloc,NOM,17.28,3.03,5,0,4,1,NOM
blond,bl§,blond,NOM,22.65,3.61,5,5,3,1,"ADJ,NOM"
blues,bluz,blues,NOM,7.81,7.81,5,5,4,1,NOM
bluff,bl9f,bluff,NOM,3.02,3.0,5,5,4,1,NOM
blâme,blam,blâme,NOM,2.04,1.85,5,5,4,1,"NOM,VER"
bobos,bobo,bobo,NOM,2.42,0.53,5,0,4,2,NOM
bocal,bokal,bocal,NOM,3.83,2.73,5,5,5,2,NOM
boche,bOS,boche,NOM,8.63,2.24,5,5,3,1,"ADJ,NOM"
bodhi,bOdi,bodhi,NOM,2.21,2.21,5,5,4,2,NOM
boeuf,b9f,boeuf,NOM,10.39,8.58,5,4,3,1,"ADJ,NOM"
boire,bwaR,boire,NOM,2.67,2.67,5,4,4,1,"NOM,VER"
bombe,b§b,bombe,NOM,64.39,48.7,5,5,3,1,"NOM,VER"
bonds,b§,bond,NOM,4.69,1.25,5,0,2,1,NOM
bonne,bOn,bonne,NOM,59.44,53.18,5,5,3,1,"ADJ,NOM"
bonté,b§te,bonté,NOM,17.88,17.31,5,4,3,2,NOM
bonus,bonys,bonus,NOM,3.8,3.8,5,4,4,2,NOM
books,buk,book,NOM,2.89,1.39,5,0,3,1,NOM
booms,bum,boom,NOM,2.83,0.02,5,0,3,1,NOM
bords,bOR,bord,NOM,79.9,2.84,5,0,3,1,NOM
borne,bORn,borne,NOM,8.35,1.69,5,5,4,1,"NOM,VER"
bosse,bOs,bosse,NOM,7.24,6.08,5,5,3,1,"NOM,VER"
bossu,bosy,bossu,NOM,4.74,4.19,5,5,4,2,"ADJ,NOM"
botte,bOt,botte,NOM,32.19,6.38,5,5,3,1,"NOM,VER"
boucs,buk,bouc,NOM,8.49,0.57,5,0,3,1,NOM
boues,bu,boue,NOM,15.1,0.01,5,0,2,1,NOM
bouge,buZ,bouge,NOM,34.79,34.02,5,5,3,1,"NOM,VER"
boule,bul,boule,NOM,30.68,19.29,5,5,3,1,"NOM,VER"
boums,bum,boum,NOM,7.01,0.21,5,0,3,1,NOM
bouts,bu,bout,NOM,128.33,7.21,5,0,2,1,NOM
bouée,bwe,bouée,NOM,2.04,1.3,5,4,3,1,NOM
boxes,bOks,boxe,NOM,9.32,0.13,5,0,4,1,"NOM,VER"
boyau,bwajo,boyau,NOM,2.86,0.19,5,5,5,2,NOM
boîte,bwat,boîte,NOM,88.81,74.58,5,5,4,1,NOM
brave,bRav,brave,NOM,6.49,4.46,5,5,4,1,"ADJ,NOM,VER"
bravo,bRavo,bravo,NOM,8.93,8.21,5,5,5,2,"NOM,ONO"
break,bREk,break,NOM,7.18,6.91,5,5,4,1,NOM
brins,bR5,brin,NOM,5.38,0.44,5,0,3,1,NOM
brise,bRiz,brise,NOM,5.63,5.6,5,5,4,1,"NOM,VER"
bruit,bR8i,bruit,NOM,94.13,78.94,5,5,4,1,"VER,NOM"
brume,bRym,brume,NOM,5.07,4.17,5,5,4,1,NOM
brune,bRyn,brune,NOM,5.2,4.44,5,5,4,1,"ADJ,NOM"
bruns,bR1,brun,NOM,2.37,0.2,5,0,3,1,"ADJ,NOM"
brute,bRyt,brute,NOM,14.03,9.04,5,5,4,1,"ADJ,NOM"
brûlé,bRyle,brûlé,NOM,2.35,1.31,5,5,5,2,"VER,ADJ,NOM"
bulle,byl,bulle,NOM,8.11,2.99,5,5,3,1,"NOM,VER"
buste,byst,buste,NOM,2.44,2.02,5,5,4,1,NOM
butin,byt5,butin,NOM,6.35,6.27,5,5,4,2,NOM
bâche,baS,bâche,NOM,2.4,2.3,5,5,3,1,"NOM,VER"
bâton,bat§,bâton,NOM,18.11,13.4,5,5,4,2,NOM
bébés,bebe,bébé,NOM,191.63,17.81,5,0,4,2,NOM
bétel,betEl,bétel,NOM,2.94,2.94,5,4,4,2,NOM
béton,bet§,béton,NOM,6.41,6.41,5,5,4,2,NOM
bêtas,bEta,bêta,NOM,2.36,0.01,5,0,4,2,"ADJ,NOM"
bêtes,bEt,bête,NOM,67.67,23.82,5,0,3,1,"ADJ,NOM"
bûche,byS,bûche,NOM,2.91,2.09,5,5,3,1,"NOM,VER"
cacas,kaka,caca,NOM,3.09,0.04,5,0,4,2,NOM
cache,kaS,cache,NOM,4.33,3.88,5,5,3,1,"NOM,VER"
cadet,kadE,cadet,NOM,7.39,3.71,5,5,4,2,"ADJ,NOM"
cadre,kadR,cadre,NOM,13.53,10.98,5,5,4,1,"NOM,VER"
cafés,kafe,café,NOM,163.56,6.0,5,0,4,2,NOM
cages,kaZ,cage,NOM,18.3,1.69,5,0,3,1,NOM
cakes,kEk,cake,NOM,3.13,0.56,5,0,3,1,NOM
cales,kal,cale,NOM,4.08,1.08,5,0,3,1,"NOM,VER"
calme,kalm,calme,NOM,105.2,105.08,5,5,4,1,"ADJ,NOM,VER"
cames,kam,came,NOM,16.77,0.28,5,0,3,1,NOM
camps,k@,camp,NOM,114.93,9.01,5,0,2,1,NOM
camés,kame,camé,NOM,2.69,0.97,5,0,4,2,"VER,ADJ,NOM"
canal,kanal,canal,NOM,17.11,14.2,5,5,5,2,NOM
canes,kan,canard,NOM,23.85,0.13,5,0,3,1,NOM
canne,kan,canne,NOM,10.91,10.21,5,5,3,1,"NOM,VER"
canon,kan§,canon,NOM,22.22,14.89,5,5,4,2,"ADJ,NOM"
canot,kano,canot,NOM,4.58,3.31,5,5,4,2,NOM
capes,kap,cape,NOM,6.25,0.85,5,0,3,1,NOM
capos,kapo,capo,NOM,2.17,0.14,5,0,4,2,NOM
capot,kapo,capot,NOM,3.17,3.13,5,5,4,2,"ADJ,NOM"
cargo,kaRgo,cargo,NOM,5.17,4.18,5,5,5,2,NOM
carpe,kaRp,carpe,NOM,2.87,2.42,5,5,4,1,NOM
carré,kaRe,carré,NOM,3.85,3.48,5,5,4,2,"VER,ADJ,NOM"
carte,kaRt,carte,NOM,144.96,96.11,5,5,4,1,NOM
cases,kaz,case,NOM,5.18,0.78,5,0,3,1,"NOM,VER"
casse,kas,casse,NOM,13.62,12.42,5,5,3,1,"NOM,VER"
catch,katS,catch,NOM,2.47,2.47,5,5,4,1,NOM
catin,kat5,catin,NOM,2.83,2.21,5,5,4,2,NOM
cause,koz,cause,NOM,218.6,213.51,5,5,3,1,"NOM,VER"
caves,kav,cave,NOM,22.4,2.42,5,0,3,1,"ADJ,NOM"
caïds,kaid,caïd,NOM,2.63,0.44,5,0,4,2,NOM
cerfs,sER,cerf,NOM,7.56,1.39,5,0,3,1,NOM
cesse,sEs,cesse,NOM,28.88,28.86,5,5,3,1,"NOM,VER"
chair,SER,chair,NOM,37.07,36.01,5,5,3,1,"ADJ,NOM"
champ,S@,champ,NOM,57.22,38.05,5,5,2,1,NOM
chant,S@,chant,NOM,25.9,17.64,5,5,2,1,NOM
chaos,kao,chaos,NOM,11.3,11.3,5,5,3,2,NOM
chars,SaR,char,NOM,11.86,3.27,5,0,3,1,NOM
chats,Sa,chat,NOM,93.0,16.0,5,0,2,1,NOM
chaud,So,chaud,NOM,13.84,12.1,5,5,2,1,"ADJ,ADV,NOM"
chefs,SEf,chef,NOM,205.26,15.46,5,0,3,1,NOM
chics,Sik,chic,NOM,3.0,0.04,5,0,3,1,"ADJ,NOM"
chien,Sj5,chien,NOM,223.53,158.77,5,5,3,1,NOM
chili,Sili,chili,NOM,2.21,2.18,5,5,4,2,NOM
chiot,Sjo,chiot,NOM,5.67,3.98,5,5,3,1,NOM
chips,Sips,chips,NOM,6.72,6.72,5,5,4,1,NOM
chocs,SOk,choc,NOM,31.46,1.24,5,0,3,1,"ADJ,NOM"
choix,Swa,choix,NOM,113.35,113.35,5,5,3,1,NOM
chose,Soz,chose,NOM,1773.62,1321.79,5,5,3,1,NOM
choux,Su,chou,NOM,29.86,4.2,5,0,2,1,NOM
chute,Syt,chute,NOM,25.15,21.01,5,5,3,1,"NOM,VER"
châle,Sal,châle,NOM,2.23,2.08,5,5,3,1,NOM
chère,SER,cher,NOM,26.65,26.37,5,0,3,1,"ADJ,NOM"
chéri,SeRi,chéri,NOM,171.98,69.08,5,5,4,2,"ADJ,NOM,VER"
chêne,SEn,chêne,NOM,5.17,4.25,5,5,3,1,NOM
cible,sibl,cible,NOM,33.55,28.69,5,5,4,1,NOM
cidre,sidR,cidre,NOM,2.0,2.0,5,5,4,1,NOM
ciels,sjEl,ciel,NOM,142.32,0.1,5,0,4,1,NOM
cieux,sj2,cieux,NOM,20.05,20.05,5,4,3,1,NOM
cinés,sine,ciné,NOM,10.35,0.02,5,0,4,2,NOM
cires,siR,cire,NOM,5.59,0.1,5,0,3,1,"NOM,VER"
cités,site,cité,NOM,16.11,1.56,5,0,4,2,"VER,ADJ,NOM"
civil,sivil,civil,NOM,14.23,5.64,5,5,5,2,"ADJ,NOM"
clair,klER,clair,NOM,12.79,12.61,5,5,4,1,"ADJ,NOM"
clans,kl@,clan,NOM,8.83,1.22,5,0,3,1,NOM
clebs,klEps,clebs,NOM,2.0,2.0,5,4,5,1,NOM
clefs,kle,clef,NOM,24.32,9.72,5,0,3,1,NOM
clins,kl5,clin,NOM,3.97,0.34,5,0,3,1,NOM
clips,klip,clip,NOM,2.98,0.86,5,0,4,1,NOM
clodo,klodo,clodo,NOM,4.12,3.36,5,4,5,2,NOM
clone,klon,clone,NOM,3.49,2.48,5,5,4,1,"NOM,VER"
clope,klOp,clope,NOM,11.94,7.87,5,5,4,1,"NOM,VER"
clous,klu,clou,NOM,13.83,6.04,5,0,3,1,NOM
clubs,kl9b,club,NOM,67.51,5.52,5,0,4,1,NOM
coach,kotS,coach,NOM,7.37,7.33,5,5,4,1,NOM
cobra,kobRa,cobra,NOM,4.24,3.96,5,4,4,2,NOM
cocas,koka,coca,NOM,14.53,0.45,5,0,4,2,NOM
cocos,koko,coco,NOM,8.58,1.84,5,0,4,2,NOM
cocue,koky,cocu,NOM,3.78,0.12,5,0,4,2,"ADJ,NOM"
cocus,koky,cocu,NOM,3.78,0.5,5,0,4,2,"ADJ,NOM"
codes,kOd,code,NOM,51.27,7.42,5,0,3,1,"NOM,VER"
coeur,k9R,coeur,NOM,239.97,224.98,5,5,3,1,NOM
coing,kw5,coing,NOM,2.13,0.67,5,5,3,1,NOM
coins,kw5,coin,NOM,99.51,6.08,5,0,3,1,NOM
cokes,kok,coke,NOM,8.54,0.05,5,0,3,1,NOM
colis,koli,colis,NOM,7.5,7.5,5,5,4,2,NOM
colle,kOl,colle,NOM,8.11,7.95,5,5,3,1,"NOM,VER"
colon,kol§,colon,NOM,2.79,1.21,5,5,4,2,NOM
comas,koma,coma,NOM,12.66,0.08,5,0,4,2,NOM
comte,k§t,comte,NOM,27.36,12.89,5,5,3,1,NOM
comté,k§te,comté,NOM,11.64,10.96,5,5,4,2,NOM
congé,k§Ze,congé,NOM,20.74,18.16,5,5,4,2,NOM
conne,kOn,con,NOM,122.62,8.57,5,0,0,1,"ADJ,NOM"
conte,k§t,conte,NOM,13.3,8.84,5,5,3,1,"NOM,VER"
copie,kopi,copie,NOM,25.7,16.88,5,5,4,2,"NOM,VER"
coque,kOk,coque,NOM,5.0,4.6,5,5,3,1,NOM
corde,kORd,corde,NOM,38.57,28.89,5,5,4,1,"NOM,VER"
corne,kORn,corne,NOM,7.79,2.63,5,5,4,1,"NOM,VER"
corps,kOR,corps,NOM,250.15,250.15,5,5,3,1,NOM
cotes,kOt,cote,NOM,8.48,0.98,5,0,3,1,"NOM,VER"
coton,kot§,coton,NOM,10.09,10.06,5,5,4,2,NOM
coude,kud,coude,NOM,10.19,5.36,5,5,3,1,NOM
coupe,kup,coupe,NOM,33.02,29.16,5,5,3,1,"NOM,VER"
coups,ku,coup,NOM,471.82,82.33,5,0,2,1,NOM
cours,kuR,cours,NOM,143.05,143.05,5,5,3,1,"VER,NOM"
court,kuR,court,NOM,8.39,7.59,5,5,3,1,"VER,ADJ,ADV,NOM"
coûts,ku,coût,NOM,5.04,1.46,5,0,2,1,NOM
crabe,kRab,crabe,NOM,8.14,4.9,5,5,4,1,NOM
crack,kRak,crack,NOM,7.77,7.3,5,5,4,1,NOM
craie,kRE,craie,NOM,5.8,5.66,5,5,3,1,NOM
crans,kR@,cran,NOM,13.97,0.36,5,0,3,1,NOM
crash,kRaS,crash,NOM,6.68,6.68,5,5,4,1,NOM
creux,kR2,creux,NOM,2.83,2.83,5,5,3,1,"ADJ,NOM"
crime,kRim,crime,NOM,104.07,81.77,5,5,4,1,NOM
crise,kRiz,crise,NOM,50.15,43.51,5,5,4,1,NOM
crocs,kRo,croc,NOM,3.19,2.53,5,0,3,1,NOM
croix,kRwa,croix,NOM,29.1,29.1,5,5,4,1,NOM
crâne,kRan,crâne,NOM,28.6,26.88,5,5,4,1,"ADJ,NOM,VER"
crème,kREm,crème,NOM,20.61,19.72,5,4,4,1,"ADJ,NOM"
crève,kREv,crève,NOM,5.79,5.75,5,4,4,1,"VER,NOM"
crêpe,kREp,crêpe,NOM,8.44,3.27,5,5,4,1,"NOM,VER"
crête,kREt,crête,NOM,4.23,3.52,5,5,4,1,NOM
cubes,kyb,cube,NOM,2.81,1.24,5,0,3,1,"NOM,VER"
cuirs,k8iR,cuir,NOM,14.25,0.14,5,0,4,1,NOM
culot,kylo,culot,NOM,9.73,9.24,5,5,4,2,NOM
culte,kylt,culte,NOM,5.37,4.74,5,5,4,1,NOM
cures,kyR,cure,NOM,6.08,0.48,5,0,3,1,"NOM,VER"
curés,kyRe,curé,NOM,15.73,2.08,5,0,4,2,"VER,NOM"
cycle,sikl,cycle,NOM,8.2,5.69,5,5,4,1,NOM
cygne,siN,cygne,NOM,7.26,5.28,5,3,3,1,NOM
câble,kabl,câble,NOM,17.04,13.36,5,5,4,1,"NOM,VER"
câlin,kal5,câlin,NOM,6.38,4.11,5,5,4,2,"ADJ,NOM"
côtes,kot,côte,NOM,35.16,9.31,5,0,3,1,NOM
côtés,kote,côté,NOM,285.99,35.48,5,0,4,2,NOM
dague,dag,dague,NOM,2.46,2.19,5,5,3,1,NOM
dalle,dal,dalle,NOM,13.0,12.35,5,5,3,1,"NOM,VER"
dames,dam,dame,NOM,111.2,24.7,5,5,3,1,"NOM,VER"
damné,dane,damné,NOM,2.57,1.2,5,5,4,2,"VER,ADJ,NOM"
dandy,d@di,dandy,NOM,2.87,2.61,5,5,4,2,NOM
danse,d@s,danse,NOM,51.23,46.92,5,5,3,1,"NOM,VER"
dates,dat,date,NOM,31.41,4.53,5,0,3,1,"NOM,VER"
deals,dil,deal,NOM,8.76,0.71,5,0,3,1,NOM
degré,d°gRe,degré,NOM,21.3,7.93,5,3,3,2,NOM
delta,dElta,delta,NOM,6.59,6.5,5,5,5,2,NOM
demie,d°mi,demi,NOM,4.64,1.61,5,0,4,2,"ADJ,NOM"
demis,d°mi,demi,NOM,4.64,0.19,5,0,4,2,"ADJ,NOM"
dents,d@,dent,NOM,74.2,60.94,5,0,2,1,NOM
dette,dEt,dette,NOM,26.13,12.77,5,3,3,1,NOM
deuil,d9j,deuil,NOM,12.24,12.21,5,4,3,1,NOM
dieux,dj2,dieu,NOM,903.41,50.49,5,0,3,1,NOM
dinde,d5d,dinde,NOM,9.32,8.79,5,5,3,1,NOM
dires,diR,dire,NOM,53.88,1.94,5,0,3,1,NOM
divan,div@,divan,NOM,4.92,4.89,5,5,4,2,NOM
divas,diva,diva,NOM,4.16,0.56,5,0,4,2,NOM
docks,dOk,dock,NOM,3.1,2.18,5,0,3,1,NOM
dodos,dodo,dodo,NOM,7.53,0.01,5,0,4,2,NOM
doigt,dwa,doigt,NOM,85.69,39.83,5,5,3,1,NOM
donne,dOn,donne,NOM,25.03,23.73,5,5,3,1,"NOM,VER"
dopes,dOp,dope,NOM,7.47,0.0,5,0,3,1,"NOM,VER"
doses,doz,dose,NOM,18.44,4.21,5,0,3,1,"NOM,VER"
doute,dut,doute,NOM,108.18,97.51,5,5,3,1,"NOM,VER"
doyen,dwaj5,doyen,NOM,3.31,3.12,5,5,5,2,NOM
drame,dRam,drame,NOM,14.87,13.48,5,5,4,1,NOM
draps,dRa,drap,NOM,19.22,15.54,5,0,3,1,NOM
droit,dRwa,droit,NOM,207.62,175.6,5,5,4,1,"ADJ,ADV,NOM"
drôle,dRol,drôle,NOM,18.73,13.59,5,5,4,1,"ADJ,NOM"
duces,dutSe,duce,NOM,2.21,0.0,5,0,4,2,NOM
ducon,dyk§,ducon,NOM,6.86,6.86,5,4,4,2,NOM
duels,d8El,duel,NOM,7.54,1.37,5,0,4,1,NOM
dunes,dyn,dune,NOM,3.96,2.41,5,0,3,1,NOM
dures,dyR,dure,NOM,3.69,0.37,5,0,3,1,"ADJ,NOM,VER"
durée,dyRe,durée,NOM,6.86,6.84,5,4,4,2,"VER,NOM"
débat,deba,débat,NOM,10.7,7.77,5,5,4,2,"NOM,VER"
début,deby,début,NOM,114.31,109.88,5,5,4,2,NOM
décor,dekOR,décor,NOM,8.38,6.01,5,5,5,2,NOM
décès,desE,décès,NOM,12.82,12.82,5,4,4,2,NOM
défis,defi,défi,NOM,12.24,2.02,5,0,4,2,"VER,NOM"
dégât,dega,dégât,NOM,14.22,0.95,5,4,4,2,NOM
délai,delE,délai,NOM,11.04,8.94,5,5,4,2,NOM
délit,deli,délit,NOM,13.52,11.35,5,5,4,2,NOM
démon,dem§,démon,NOM,61.0,39.71,5,5,4,2,NOM
dépit,depi,dépit,NOM,5.82,5.82,5,5,4,2,NOM
dépôt,depo,dépôt,NOM,13.2,11.9,5,5,4,2,NOM
désir,deziR,désir,NOM,45.35,31.59,5,5,5,2,NOM
dîner,dine,dîner,NOM,88.45,84.73,5,5,4,2,"ADJ,NOM,VER"
effet,efE,effet,NOM,116.75,99.17,5,5,3,2,NOM
elfes,Elf,elfe,NOM,3.26,1.87,5,0,3,1,NOM
encre,@kR,encre,NOM,6.81,6.49,5,5,3,1,"NOM,VER"
enfer,@fER,enfer,NOM,88.86,86.02,5,5,4,2,NOM
engin,@Z5,engin,NOM,11.25,9.41,5,5,3,2,NOM
enjeu,@Z2,enjeu,NOM,4.67,3.52,5,4,3,2,NOM
ennui,@n8i,ennui,NOM,76.64,14.76,5,5,4,2,NOM
envie,@vi,envie,NOM,213.96,210.62,5,5,3,2,"NOM,VER"
envoi,@vwa,envoi,NOM,4.46,3.47,5,5,4,2,NOM
envol,@vOl,envol,NOM,2.5,2.48,5,5,3,2,NOM
essai,esE,essai,NOM,28.78,20.31,5,5,3,2,NOM
euros,2Ro,euro,NOM,9.84,8.99,5,0,3,2,NOM
exams,Egzam,exam,NOM,3.08,1.01,5,0,5,2,NOM
excès,EksE,excès,NOM,7.67,7.67,5,4,4,2,NOM
exils,Egzil,exil,NOM,6.04,0.14,5,0,5,2,NOM
exilé,Egzile,exilé,NOM,2.23,0.88,5,5,6,3,"VER,ADJ,NOM"
expos,Ekspo,expo,NOM,3.77,0.51,5,0,5,2,NOM
extra,EkstRa,extra,NOM,4.93,3.88,5,5,6,2,"ADJ,NOM"
fable,fabl,fable,NOM,2.59,1.79,5,5,4,1,NOM
faces,fas,face,NOM,125.32,0.98,5,0,3,1,NOM
faims,f5,faim,NOM,128.04,0.55,5,0,2,1,NOM
faits,fE,fait,NOM,412.07,27.36,5,0,2,1,"VER,ADJ,NOM"
